string	citation	standard_citation	citation_id
@arxiv:1506.08596	arxiv:1506.08596	arxiv:1506.08596	A1kNMUKB
@doi:10.1038/msb4100081	doi:10.1038/msb4100081	doi:10.1038/msb4100081	x1Hd2npA
@doi:10.1038/nature09152	doi:10.1038/nature09152	doi:10.1038/nature09152	cfHwILHp
@doi:10.1038/nmeth.1318	doi:10.1038/nmeth.1318	doi:10.1038/nmeth.1318	dc6GAnhL
@doi:10.1038/nmeth.2413	doi:10.1038/nmeth.2413	doi:10.1038/nmeth.2413	ne2ewtkS
@doi:10.1038/nmeth.4074	doi:10.1038/nmeth.4074	doi:10.1038/nmeth.4074	H1cK0KNl
@doi:10.1093/emboj/16.9.2197	doi:10.1093/emboj/16.9.2197	doi:10.1093/emboj/16.9.2197	oLbIsF1b
@doi:10.1093/nar/12.12.4849	doi:10.1093/nar/12.12.4849	doi:10.1093/nar/12.12.4849	Q1a7tU8
@doi:10.1126/science.1188308	doi:10.1126/science.1188308	doi:10.1126/science.1188308	oD6kpSs3
@pmid:10829079	pmid:10829079	pmid:10829079	RBKXt78E
@pmid:10850721	pmid:10850721	pmid:10850721	Qz6zNiXK
@pmid:10978179	pmid:10978179	pmid:10978179	Ls5d7x4o
@pmid:14749823	pmid:14749823	pmid:14749823	S7KRThVS
@pmid:14764926	pmid:14764926	pmid:14764926	cpANz6cV
@pmid:16432263	pmid:16432263	pmid:16432263	WxFVKQqb
@pmid:16590055	pmid:16590055	pmid:16590055	eUtnfAD6
@pmid:16591435	pmid:16591435	pmid:16591435	YoMCfbca
@pmid:16716067	pmid:16716067	pmid:16716067	XuRR8Zmt
@pmid:16883354	pmid:16883354	pmid:16883354	GcRoYBF2
@pmid:21512033	pmid:21512033	pmid:21512033	1GFLV3s4q
@pmid:2182324	pmid:2182324	pmid:2182324	UMSODjob
@pmid:21933410	pmid:21933410	pmid:21933410	15TQ1MvYV
@pmid:22735544	pmid:22735544	pmid:22735544	EObeLKJ1
@pmid:22743772	pmid:22743772	pmid:22743772	1Xy8hvPg
@pmid:24234441	pmid:24234441	pmid:24234441	pzTydEMA
@pmid:27110723	pmid:27110723	pmid:27110723	J6PWaBUu
@pmid:28931898	pmid:28931898	pmid:28931898	zj8Ydkzo
@pmid:29084263	pmid:29084263	pmid:29084263	TlAItren
@pmid:29131164	pmid:29131164	pmid:29131164	82diXnad
@pmid:6098521	pmid:6098521	pmid:6098521	5CRbRLYC
@pmid:8707053	pmid:8707053	pmid:8707053	13TJF2gcl
@pmid:8887568	pmid:8887568	pmid:8887568	xjKSoV9v
@pmid:9092630	pmid:9092630	pmid:9092630	NCWOk1rp
@url:https://greenelab.github.io/meta-review/	url:https://greenelab.github.io/meta-review/	url:https://greenelab.github.io/meta-review/	1GGGHdsew
@url:https://www.addgene.org/Zach_Hensel/	url:https://www.addgene.org/Zach_Hensel/	url:https://www.addgene.org/Zach_Hensel/	q8xLcfYV
